n,search_params,params,build_ndc,build_ms,recall_mean,ndc_mean,time_ms_mean
10000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",8604479,1127.3149680000001,0.953,1024.030,0.179
10000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",8023488,1139.533073,0.957,964.527,0.178
10200,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",8807492,1139.929464,0.954,1027.947,0.180
10200,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",8215867,1162.069184,0.957,968.220,0.180
5000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",3599409,382.148376,0.963,926.380,0.106
5000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",3341503,421.037008,0.964,856.083,0.115
10000,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",8604479,1183.015719,0.953,1024.030,0.183
10000,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",8023488,1162.3163080000002,0.957,964.527,0.178
10200,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",8807492,1163.956271,0.954,1027.947,0.184
10200,"{k:30, ef: 60, start_candidates: 1}","HNSW2HnswParams { level_norm_param: 0.8, ef_construction: 46, m_max: 40, m_max_0: 40, distance: Dot }",8215867,1219.72539,0.957,968.220,0.184
